iter	RMSE
0	5.332621235
1	5.311543657
2	5.291070262
3	5.271418998
4	5.251762735
5	5.232707669
6	5.214702469
7	5.196232988
8	5.178416808
9	5.160199159
10	5.143326605
11	5.126591497
12	5.110245655
13	5.094146021
14	5.078452387
15	5.063422554
16	5.048796788117	5.03365366
18	5.019429148
19	5.004948687
20	4.991251509
21	4.977939618
22	4.964955301
23	4.952368146
24	4.939403369
25	4.927471272
26	4.915007399
27	4.902800282228	4.890789808
29	4.87986238
30	4.86820404
31	4.857500859
32	4.847216186
33	4.834837728334	4.824221989335	4.814386158336	4.804674393337	4.79518597
38	4.785962499
39	4.779598703440	4.770362234441	4.761696104242	4.752927424343	4.744441034444	4.736142704545	4.727883064646	4.71913847	447	4.7110154848	4.703481754949	4.695974986
50	4.68867432
51	4.681511318552	4.674504787553	4.6676686054	4.656877902
55	4.650266388
56	4.64357264
57	4.637360299
58	4.631210098
59	59	4.629094060	60	4.622942061	4.612712864
62	4.606448285
63	4.600838498
64	4.595268136
65	4.589748676
66	66	4.587390667	4.578674372
68	4.57370066
69	4.568098814
70	4.563322274
71	4.558461492
72	4.553110487
73	4.548397634
74	4.543692955
75	4.539078679
76	4.534064646
77	4.529186396
78	4.524516028
79	4.52039404
80	4.516208467
81	4.81	4.5159682	4.82	4.5117583	4.503812217
84	4.84	4.5034985	4.85	4.499286	4.486	4.495687	4.487	4.491888	4.488	4.48789	4.4789	4.48490	4.476159416
91	4.472703881
92	4.469006921
93	4.4693	4.46994	4.4694	4.46695	4.4595	4.4696	4.45596	4.4597	4.45297	4.4598	4.44898	4.452749884
99	4.449305533
100	4.446241648
101	4.443245672
102	4.440115367
103	4.437364622
104	4.434263238
105	4.431477026
106	4.4285075
107	4.425634129
108	4.422791732
109	4.420227119
110	4.417635734
111	4.415039557
112	4.41247629
113	4.409912739
114	4.407258251
115	4.404629449
116	4.402035823
117	4.399500624
118	4.396927491
119	4.394392964
120	4.391938263
121	4.389456057
122	4.387007108
123	4.38479241
124	4.382443266
125	4.380166024
126	4.377921467
127	4.375623788
128	4.373379069
129	4.37122645
130	4.369092618
131	4.366928806
132	4.36491482
133	4.362817281
134	4.360753084
135	4.358843388
136	4.356836708
137	4.354846142
138	4.3528645
139	4.350976742
140	4141	4.34407141	4142	4.34218142	4143	4.34030143	4144	4.33841144	4145	4.33654145	4146	4.33472146	4147	4.332991651
148	4.33130148	4149	4.32956149	4150	4.32786150	4151	4.32615151	4152	4.32456152	4.327620747
153	4.325881367
154	4.324271777
155	4.322635639
156	4.321022541
157	4.319364939
158	4.317758762
159	4.316215637
160	4.314585521
161	4.313052682
