iter	Passed	Remaining
0	433	346665
1	733	292595
2	938	249349
3	1187	236390
4	1365	217040
5	1506	199301
6	1690	191455
7	1882	186384
8	2119	186245
9	2268	179198
10	2491	178694
11	2736	179673
12	2991	181129
13	3220	180781
14	3335	174548
15	3549	173912
16	3696	170273
17	3964	172224
18	4277	175811
19	4491	175162
20	4740	175844
21	4956	175287
22	5161	174355
23	5464	176679
24	5651	175185
25	5876	174934
26	6124	175345
27	6377	175848
28	6640	176537
29	6818	174997
30	6924	171781
31	7169	172057
32	7287	169378
333	8261	186118334	8457	184858335	8678	184171336	8901	183570337	9119	182877338	9283	18113939	8728	165843
40	8957	165819
41	9167	165454
42	9444	166274
43	9758	167664
44	9993	167676
45	10201	167212
46	10477	167856
47	10709	167777
48	10876	166695
49	11137	167069
50	11315	166176
51	11466	164947
52	11614	163699
53	11876	164067
54	154	12838	17355	155	13017	17256	156	13255	17257	157	13502	17258	158	13653	17159	13213	162965
60	13415	162526
61	161	14309	17062	162	14525	16963	163	14746	16964	164	14994	16965	165	15200	16966	14620	159954
67	167	15597	16768	168	15852	16769	169	16093	16770	170	16403	16871	171	16638	16872	172	16920	16873	173	17217	168917
74	17543	169586
75	17654	16876	176	17878	16777	177	18094	167494
78	18268	16679	179	18413	16580	180	18647	16581	18093	158430
82	18332	158362
83	183	19248	16484	18693	157247
85	18969	157489
86	19144	156896
87	19363	156668
88	19571	156354
89	19730	155654
90	190	20674	16191	291	20871	16092	292	21056	16093	20539	154262
94	20754	154016
95	20988	153914
96	21293	154322
97	21514	154116
98	21687	153563
99	21871	153101
100	22058	152662
101	22239	152189
102	22455	151954
103	22739	152179
104	22881	151451
105	23178	151751
106	23410	151623
107	23551	150903
108	23741	150505
109	23922	150059
110	24130	149783
111	24247	148947
112	24557	149298
113	24744	148901
114	24948	148605
115	25134	148204
116	25318	147799
117	25590	147906
118	25828	147806
119	26086	147821
120	26232	147205
121	26591	147776
122	26891	148010
123	27091	147693
124	27238	147090
125	27416	146655
126	27594	146227
127	27798	145943
128	27916	145211
129	28192	145300
130	28375	144909
131	28582	144644
132	28761	144240
133	29035	144310
134	29189	143782
135	29318	143141
136	29491	142723
137	29600	141996
138	29705	141262
139	29850	140722
140	29991	140173
141	30209	139986
142	30400	139671
143	30606	139427
144	30897	139572
145	31123	139417
146	31234	138749
147	147	32210	141148	31647	138274
149	31860	138062
150	32081	137887
151	32246	137472
152	32556	137672
153	32824	137692
154	33107	137769
155	33290	137429
156	33511	137247
157	33701	136939
158	33934	136804
159	34073	136293
160	34190	135701
161	34402	135485
162	34671	135494
163	34947	135527
164	35184	135405
165	35358	135043
166	35602	134948
167	35871	134947
168	36093	134764
169	36417	134960
170	36641	134779
171	36829	134469
172	36920	133811
173	37137	133609
174	37449	133749
175	37705	133681
176	37946	133564
177	38112	133180
178	38267	132761
179	38506	132632
180	38736	132474
181	38922	132164
182	39156	132018
183	39379	131837
184	39506	131331
185	39694	131036
186	39932	130902
187	40014	130261
188	40283	130230
189	40485	129978
190	40750	129933
191	41048	129987
192	41227	129662
193	41393	129301
194	41547	128903
195	41733	128608
196	41885	128207
197	42036	127808
198	42282	127696
199	42550	127652
200	42675	127177
201	42889	126969
202	43083	126702
203	43253	126368
204	43429	126051
205	43694	125991
206	43904	125774
207	44086	125477
208	44357	125430
209	44500	125023
210	44703	124787
211	44903	124545
212	45049	124150
213	45363	124220
214	45580	124020
215	45823	123892
216	46027	123660
217	46348	123737
218	46499	123362
219	46849	123511
220	46999	123135
221	47212	122922
222	47399	122642
223	47613	122433
224	47874	122345
225	48014	121947
226	48289	121893
227	48503	121685
228	48689	121405
229	48910	121212
230	49046	120811
231	49337	120791
232	49521	120509
233	49803	120465
